"topic","name","num_docs","important"
0,"motivation",22206,"[u'i\u2019m' u'it\u2019s' u'i\u2019ve' u'like' u'really' u'don\u2019t'
 u'going' u'know' u'thing' u'think' u'i\u2019ll' u'get' u'that\u2019s'
 u'feel' u'i\u2019d' u'want' u'much' u'still' u'something' u'good']"
1,"workout_routine",18678,"[u'wod' u'squat' u'ups' u'10' u'round' u'amrap' u'min' u'push' u'clean'
 u'snatch' u'20' u'burpees' u'5' u'jump' u'15' u'pull' u'box' u'kb' u'row'
 u'strength']"
2,"picture_gallery",17077,"[u'' u'text-align' u'2px' u'margin-top' u'0' u'10px' u'gallery_shortcode'
 u'gallery-item' u'gallery-caption' u'margin-left' u'wp-includes/media.php'
 u'cfcfcf' u'img' u'auto' u'float' u'margin' u'border' u'width' u'solid'
 u'33']"
3,"healthy_baking",10522,"[u'cup' u'1' u'1/2' u'butter' u'sugar' u'chocolate' u'baking' u'ingredient'
 u'flour' u'recipe' u'egg' u'tsp' u'milk' u'coconut' u'vanilla' u'almond'
 u'2' u'powder' u'bowl' u'protein']"
4,"weight_loss",13675,"[u'weight' u'fat' u'calorie' u'loss' u'body' u'diet' u'lose' u'pound'
 u'muscle' u'goal' u'burn' u'gain' u'lb' u'lost' u'losing' u'eating' u'eet'
 u'scale' u'metabolism' u'protein']"
5,"edurance_races",15492,"[u'run' u'race' u'mile' u'running' u'marathon' u'runner' u'pace' u'5k'
 u'ran' u'half' u'finish' u'trail' u'hill' u'distance' u'bike' u'course'
 u'minute' u'time' u'shoe' u'first']"
6,"community_projects",26207,"[u'business' u'new' u'community' u'service' u'student' u'program'
 u'company' u'event' u'year' u'school' u'information' u'customer' u'county'
 u'market' u'social' u'project' u'local' u'center' u'product' u'education']"
7,"spanish",4663,"[u'de' u'e' u'que' u'da' u'para' u'em' u'com' u'\xe9' u'la' u'na' u'o'
 u'uma' u'um' u'se' u'en' u'por' u'n\xe3o' u'mais' u'el' u'como']"
8,"track_routine",13268,"[u'\u2013' u'mix' u'3' u'10' u'pm' u'5' u'min' u'9' u'4' u'paduraru'
 u'\u2665' u'cals' u'6' u'8' u'feat' u'remix' u'2' u'whiteboard' u'12'
 u'track']"
9,"group_fitness",10432,"[u'class' u'yoga' u'instructor' u'studio' u'crossfit' u'zumba' u'pose'
 u'gym' u'student' u'dance' u'teacher' u'practice' u'mat' u'pilate' u'free'
 u'teaching' u'saturday' u'group' u'body' u'spin']"
10,"protein_powder",3544,"[u'rt' u'bestproteinpow' u'https://twitter.com/bestproteinpow'
 u'platform.twitter.com/widgets.js' u'twitter' u'\u2014' u'protein'
 u'powder' u'\u2026' u'2015' u'best' u'november' u'december' u'2016' u'25'
 u'thank' u'following' u'january' u'bodybuilding' u'u']"
11,"promotional",3174,"[u'sweepstakes' u'prize' u'entry' u'winner' u'rule' u'1' u'limit' u'period'
 u'per' u'facebook' u'grand' u'arv' u'win' u'seattle' u'enter' u'card'
 u'gift' u'eligibility' u'one' u'page']"
12,"story_of_persons_day",35320,"[u'got' u'went' u'home' u'back' u'night' u'little' u'one' u'time'
 u'didn\u2019t' u'morning' u'get' u'around' u'took' u'house' u'would'
 u'made' u'really' u'go' u'good' u'friend']"
13,"workout_advice",11581,"[u'exercise' u'muscle' u'leg' u'body' u'back' u'knee' u'shoulder' u'arm'
 u'hip' u'foot' u'workout' u'squat' u'core' u'movement' u'side' u'position'
 u'lower' u'ab' u'stretch' u'pain']"
14,"nutrition",2410,"[u'source' u'protein' u'vitamin' u'fat' u'photo' u'acid' u'fiber' u'energy'
 u'calcium' u'carbohydrate' u'image' u'article' u'gram' u'nutrient'
 u'antioxidant' u'news' u'c' u'pinterest' u'amino' u'mineral']"
15,"book_movie_review",9814,"[u'book' u'read' u'story' u'reading' u'novel' u'writing' u'author'
 u'character' u'movie' u'review' u'writer' u'page' u'film' u'magazine'
 u'reader' u'series' u'one' u'chapter' u'fiction' u'library']"
16,"lifting_routine",5650,"[u'rep' u'minute' u'set' u'1' u'workout' u'2' u'rest' u'3' u'max' u'round'
 u'10' u'5' u'second' u'30' u'20' u'4' u'complete' u'pull-up' u'15'
 u'press']"
17,"gyms_trainers_goals",9862,"[u'fitness' u'workout' u'trainer' u'health' u'fit' u'exercise'
 u'resolution' u'gym' u'goal' u'challenge' u'get' u'personal' u'healthy'
 u'dempsey\u2019s' u'motivation' u'new' u'nutrition' u'cardio' u'fatloss'
 u'program']"
18,"german",1337,"[u'der' u'die' u'und' u'ist' u'da' u'von' u'zu' u'nicht' u'den' u'f\xfcr'
 u'im' u'mit' u'eine' u'ein' u'sich' u'auch' u'e' u'auf' u'ich' u'dem']"
19,"body_building",3738,"[u'x' u'5' u'3' u'lb' u'1' u'2' u'10' u'4' u'press' u'6' u'8' u'kg' u'135'
 u'squat' u'warm' u'superset' u'20' u'bench' u'set' u'2:00']"
20,"music_artist_promotion",12734,"[u'video' u'song' u'music' u'album' u'show' u'watch' u'film' u'movie'
 u'band' u'youtube' u'click' u'love' u'dance' u'artist' u'check' u'pev'
 u'dr' u'see' u'fan' u'favorite']"
21,"about_blogging",13110,"[u'post' u'blog' u'view' u'original' u'comment' u'\u2665' u'click' u'link'
 u'blogger' u'share' u'blogging' u'site' u'read' u'check' u'page' u'please'
 u'new' u'article' u'facebook' u'photo']"
22,"healthy_food",12193,"[u'food' u'eat' u'eating' u'meal' u'healthy' u'diet' u'fruit' u'protein'
 u'snack' u'calorie' u'vegetable' u'sugar' u'nutrition' u'drink' u'meat'
 u'breakfast' u'salad' u'make' u'whole' u'veggie']"
23,"north_korea",14619,"[u'said' u'\u2014' u'military' u'inquirer.net' u'kim' u'philippine'
 u'president' u'government' u'posted' u'force' u'manila' u'police' u'chief'
 u'army' u'state' u'general' u'guinto' u'joel' u'officer' u'soldier']"
24,"feelings_and_desires",31434,"[u'life' u'people' u'thing' u'u' u'know' u'one' u'make' u'want' u'time'
 u'god' u'don\u2019t' u'would' u'like' u'love' u'way' u'think' u'say'
 u'something' u'even' u'feel']"
25,"personal_training",7486,"[u'training' u'strength' u'train' u'athlete' u'trainer' u'program'
 u'session' u'cardio' u'parkour' u'thetrainer' u'functionaltraining'
 u'coach' u'running' u'sport' u'getfit' u'muscle' u'strong'
 u'determination' u'personal' u'motivation']"
26,"health_studies",17410,"[u'health' u'cancer' u'study' u'disease' u'risk' u'blood' u'patient'
 u'research' u'heart' u'treatment' u'cell' u'dr' u'diabetes' u'skin'
 u'medical' u'vitamin' u'may' u'effect' u'doctor' u'physical']"
27,"team_ball_sports",10760,"[u'game' u'team' u'player' u'sport' u'arsenal' u'season' u'play' u'rugby'
 u'ball' u'league' u'goal' u'football' u'coach' u'gooner' u'women\u2019s'
 u'club' u'win' u'athlete' u'playing' u'match']"
28,"workout_plan",7966,"[u'day' u'week' u'workout' u'rest' u'work' u'today' u'monday' u'plan'
 u'challenge' u'morning' u'weekend' u'time' u'friday' u'last' u'get'
 u'next' u'sunday' u'saturday' u'goal' u'wednesday']"
29,"dinner_cooking",11906,"[u'pepper' u'oil' u'chicken' u'1' u'add' u'onion' u'garlic' u'salt'
 u'sauce' u'olive' u'tomato' u'heat' u'cook' u'recipe' u'chopped' u'salad'
 u'2' u'cheese' u'cup' u'minute']"
