"topic","num_docs","important"
0,1430,"[u'like' u'one' u'little' u'time' u'it\u2019s' u'really' u'would' u'get'
 u'think' u'thing' u'got' u'bit' u'back' u'much' u'know' u'don\u2019t'
 u'go' u'look' u'night' u'around']"
1,711,"[u'de' u'que' u'e' u'\xe9' u'n\xe3o' u'um' u'da' u'em' u'para' u'com' u'o'
 u'uma' u'mais' u'se' u'na' u'por' u'do' u'como' u'isso' u'ou']"
2,376,"[u'der' u'die' u'von' u'und' u'abmahnung' u'f\xfcr' u'den' u'dem' u'eine'
 u'zu' u'ist' u'einer' u'im' u'waldorf' u'frommer' u'filesharing' u'da'
 u'euro' u'werden' u'au']"
3,822,"[u'career' u'guidance' u'education' u'school' u'development' u'people'
 u'work' u'service' u'social' u'learning' u'policy' u'young'
 u'professional' u'university' u'research' u'government' u'advice' u'skill'
 u'labour' u'support']"
4,517,"[u'' u'solid' u'text-align' u'2px' u'10px' u'margin-left'
 u'gallery-caption' u'gallery-item' u'gallery_shortcode' u'margin-top'
 u'cfcfcf' u'wp-includes/media.php' u'img' u'auto' u'float' u'margin' u'0'
 u'border' u'width' u'33']"
5,574,"[u'phuket' u'regatta' u'event' u'beach' u'festival' u'island' u'boat'
 u'yacht' u'said' u'patong' u'king\u2019s' u'international' u'thai'
 u'phuket\u2019s' u'sailing' u'marine' u'racing' u'local' u'resort' u'cup']"
6,694,"[u'diet' u'food' u'fat' u'calorie' u'weight' u'eat' u'protein' u'eating'
 u'study' u'body' u'healthy' u'disease' u'fruit' u'obesity' u'\u2014'
 u'said' u'people' u'meal' u'sugar' u'loss']"
7,572,"[u'add' u'1' u'minute' u'salt' u'pepper' u'cup' u'oil' u'chicken' u'recipe'
 u'oven' u'onion' u'heat' u'2' u'egg' u'garlic' u'tomato' u'tablespoon'
 u'olive' u'cheese' u'pan']"
8,672,"[u'health' u'public' u'community' u'mpha' u'program' u'massachusetts'
 u'policy' u'state' u'organization' u'prevention' u'support' u'funding'
 u'director' u'service' u'transportation' u'care' u'experience' u'healthy'
 u'position' u'boston']"
9,343,"[u'kayak' u'inch' u'inflatable' u'paddle' u'seat' u'valve' u'pump' u'board'
 u'lb' u'deck' u'fin' u'side' u'sup' u'air' u'floor' u'water' u'paddling'
 u'gear' u'foot' u'two']"
10,617,"[u'\u2013' u'3' u'critical' u'guess' u'look' u'movie' u'free' u'2' u'rep'
 u'one' u'thing' u'sexy' u'board' u'make' u'4' u'photo' u'internet' u'say'
 u'gonna' u'']"
11,407,"[u'ups' u'squat' u'5a' u'930a' u'830a' u'6a' u'b' u'630p' u'10'
 u'conditioning' u'430p' u'rep' u'530p' u'push' u'row' u'warm' u'pull' u'c'
 u'5' u'hour']"
12,362,"[u'week' u'pregnancy' u'baby' u'month' u'abigail' u'she\u2019s' u'abby'
 u'appointment' u'none' u'7x7xmommy' u'sleep' u'lb' u'maternity' u'belly'
 u'gain' u'i\u2019m' u'weight' u'clothes' u'1' u'girl']"
13,414,"[u'run' u'race' u'mile' u'running' u'marathon' u'ran' u'runner' u'finish'
 u'nike' u'training' u'course' u'half' u'trail' u'pace' u'time' u'hill'
 u'bike' u'week' u'distance' u'5k']"
14,176,"[u'foursquare' u'4sqday' u'badge' u'event' u'social' u'venue' u'day'
 u'business' u'city' u'mayor' u'medium' u'tampa' u'swarm' u'special'
 u'community' u'check-in' u'local' u'user' u'people' u'check']"
15,640,"[u'film' u'movie' u'it\u2019s' u'character' u'life' u'story' u'he\u2019s'
 u'watch' u'man' u'play' u'one' u'love' u'played' u'role' u'girl' u'woman'
 u'best' u'star' u'actor' u'bond']"
16,354,"[u'hotel' u'resort' u'beach' u'room' u'absolute' u'spa' u'suite' u'stay'
 u'restaurant' u'pool' u'accommodation' u'guest' u'patong' u'island'
 u'\xbb' u'villa' u'night' u'free' u'breakfast' u'promo']"
17,412,"[u'blog' u'post' u'winner' u'giveaway' u'comment' u'email' u'entry' u'site'
 u'facebook' u'7x7xmommy' u'word' u'check' u'thanks' u'enter' u'video'
 u'participated' u'twitter' u'everyone' u'blogger' u'know']"
18,404,"[u'fitness' u'ace' u'morgan' u'class' u'great' u'activio' u'everyone'
 u'hello' u'lila' u'park' u'thank' u'group' u'bring' u'today' u'client'
 u'tip' u'heart' u'studio' u'nutrition' u'bay']"
19,387,"[u'jewish' u'theater' u'street' u'14th' u'laba' u'art' u'artist'
 u'community' u'new' u'play' u'student' u'project' u'festival' u'year'
 u'school' u'work' u'program' u'theatre' u'culture' u'music']"
20,293,"[u'day' u'week' u'today' u'challenge' u'work' u'happy' u'hour' u'morning'
 u'every' u'weekend' u'last' u'time' u'great' u'lunch' u'friday'
 u'breakfast' u'eat' u'go' u'yoga' u'dinner']"
21,370,"[u'book' u'read' u'reading' u'novel' u'story' u'page' u'author' u'life'
 u'chapter' u'review' u'reader' u'writing' u'it\u2019s' u'year' u'like'
 u'writer' u'amazon' u'would' u'fiction' u'one']"
22,349,"[u'workout' u'training' u'body' u'gym' u'weight' u'goal' u'muscle' u'week'
 u'rep' u'get' u'fitness' u'time' u'cardio' u'minute' u'exercise'
 u'strength' u'work' u'set' u'need' u'program']"
23,404,"[u'i\u2019m' u'i\u2019ve' u'going' u'tomorrow' u'i\u2019ll' u'it\u2019s'
 u'i\u2019d' u'presentation' u'thought' u'know' u'today' u'don\u2019t'
 u'thing' u'giving' u'say' u'think' u'sure' u'conference' u'feel' u'really']"
24,345,"[u'thailand' u'tourism' u'tourist' u'thai' u'bangkok' u'said' u'tat'
 u'flight' u'destination' u'market' u'travel' u'million' u'year' u'visitor'
 u'international' u'arrival' u'airport' u'country' u'per' u'airline']"
25,341,"[u'greek' u'septuagint' u'bible' u'text' u'logo' u'hebrew' u'commentary'
 u'testament' u'accordance' u'word' u'review' u'study' u'translation'
 u'lxx' u'new' u'edition' u'volume' u'biblical' u'english' u'isaiah']"
26,366,"[u'god' u'jesus' u'u' u'prayer' u'life' u'god\u2019s' u'lord' u'word'
 u'christ' u'love' u'psalm' u'people' u'faith' u'spirit' u'others'
 u'christian' u'say' u'church' u'one' u'pray']"
27,211,"[u'app' u'io' u'ipad' u'iphone' u'apps' u'review' u'use' u'task' u'mac'
 u'feature' u'device' u'screen' u'case' u'it\u2019s' u'omnifocus' u'free'
 u'phone' u'keyboard' u'pro' u'writing']"
28,355,"[u'exercise' u'squat' u'muscle' u'hip' u'shoulder' u'knee' u'leg'
 u'mobility' u'athlete' u'core' u'movement' u'glute' u'back' u'article'
 u'body' u'position' u'arm' u'injury' u'crossfit' u'ab']"
29,42,"[u'\u03ba\u03b1\u1f76' u'\u1f10\u03bd' u'\u1f41' u'\u03c4\u03bf\u1fe6'
 u'\u03bf\u1f31' u'\u03c4\u1f78' u'\u03b5\u1f30\u03c2' u'\u1f21' u'isaiah'
 u'\u03c4\u1fc6\u03c2' u'\u03c4\u1f78\u03bd' u'\u03c4\u1f74\u03bd'
 u'\u1f10\u03c0\u1f76' u'\u03c4\u1f70' u'\u03c3\u03bf\u03c5'
 u'\u1f61\u03c2' u'\u03bc\u1f74' u'\u03c4\u1ff6\u03bd'
 u'\u03ba\u03cd\u03c1\u03b9\u03bf\u03c2' u'isa']"
