domain,url_count
21stcenturyscientist.blogspot.com,3
2centsapiece.blogspot.com,1
9245850af42d5961664fae37f833cdb3.blogspot.com,1
aamitarora.blogspot.com,1
aaren.blogspot.com,1
aaronsadventures.blogspot.com,3
abbottanalytics.blogspot.com,34
abdullahkise.blogspot.com,3
aboutdatam.blogspot.com,2
abstractcomics.blogspot.com,1
ackhat.blogspot.com,1
activistteacher.blogspot.com,1
adamrabinovitch.blogspot.com,3
adiwirastadev.blogspot.com,1
advancedatascience.blogspot.com,2
advancednano.blogspot.com,1
ak-wx.blogspot.com,1
alexonsimanddata.blogspot.com,1
allaboutdatascience.blogspot.com,2
allthingsdatascience.blogspot.com,7
alocan.blogspot.com,1
alphaanalysis.blogspot.com,1
amicor_preserve.blogspot.com,1
amitsheth.blogspot.com,1
analyticsth.blogspot.com,1
ankoorb.blogspot.com,5
anlytcs.blogspot.com,1
annanagurney.blogspot.com,2
antigreen.blogspot.com,2
apapunempu.blogspot.com,1
applieddatamining.blogspot.com,1
applieddatascience-bida.blogspot.com,1
aquigley.blogspot.com,2
austinhug.blogspot.com,1
aveshdhakal.blogspot.com,1
backwardations.blogspot.com,1
badposturewcs.blogspot.com,1
balkin.blogspot.com,1
beamtenherrschaft.blogspot.com,7
becomingdatasci.blogspot.com,1
berkeleyjess.blogspot.com,3
best-bigdata-training.blogspot.com,1
betf.blogspot.com,1
biasedestimates.blogspot.com,2
bickson.blogspot.com,10
big5data.blogspot.com,1
biganalytics.blogspot.com,1
bigcomputing.blogspot.com,8
bigdata-tech.blogspot.com,1
bigdataauthority.blogspot.com,1
bigdataco.blogspot.com,3
bigdatadegreeprograms.blogspot.com,1
bigdataplusanalytics.blogspot.com,1
bigdatasoc.blogspot.com,3
bigdatastirling.blogspot.com,1
bigdatatechmusings.blogspot.com,4
bigeducationape.blogspot.com,2
bim-businessintelligence.blogspot.com,5
biobiz.blogspot.com,1
biplanet.blogspot.com,3
bldgblog.blogspot.com,1
blog.jasonmhare.com,5
bnreddybi.blogspot.com,6
brendantierneydatamining.blogspot.com,2
brianspiering.blogspot.com,1
businessinformi.blogspot.com,1
businessofficesoftware.blogspot.com,1
bytesofscience.blogspot.com,1
camdendepot.blogspot.com,1
careerxlsstudyabroad.blogspot.com,1
cassandralegacy.blogspot.com,1
cdoforum.blogspot.com,1
cebu-upcomingeventscebu.blogspot.com,1
chassresearch.blogspot.com,4
chemjobber.blogspot.com,1
christinaslibraryrant.blogspot.com,1
christophergandrud.blogspot.com,1
cis471.blogspot.com,2
citizenschallenge.blogspot.com,1
cliffmass.blogspot.com,2
climatescience.blogspot.com,1
clinijobs.blogspot.com,1
codeclubkenya.blogspot.com,1
codingplayground.blogspot.com,1
commonagpolicy.blogspot.com,1
compgen.blogspot.com,2
compsocsci.blogspot.com,1
continuingedupdate.blogspot.com,3
coolastory.blogspot.com,4
crazyhottommy.blogspot.com,2
creationevolutiondesign.blogspot.com,1
cssp-jnu.blogspot.com,1
dadadatascience.blogspot.com,3
data-mining-tutorials.blogspot.com,36
data-science-in-action.blogspot.com,1
data.blogspot.com,6
databrit.blogspot.com,1
datacook.blogspot.com,1
dataillumination.blogspot.com,2
dataminingresearch.blogspot.com,1
dataology.blogspot.com,1
datareality.blogspot.com,3
datascience-rlanguage.blogspot.com,7
datascienceclassroomtraininghyderabad.blogspot.com,1
datasciencegroup.blogspot.com,3
datasciencehyderabad.blogspot.com,1
datascienceinfo.blogspot.com,1
datasciencejourney.blogspot.com,1
datasciencekids.blogspot.com,7
datasciencemaster.blogspot.com,4
datasciencestatistics.blogspot.com,2
datasciencethoughts.blogspot.com,1
datasciencetrainingchennai.blogspot.com,1
datasciencetraininghyderabad.blogspot.com,4
datasciencewithrandpython.blogspot.com,3
datascientistanalytics.blogspot.com,3
datascientistdiary.blogspot.com,5
datascinz.blogspot.com,1
davegiles.blogspot.com,10
dba1admin.blogspot.com,2
decipherdata.blogspot.com,1
deedtraininganddevelopment.blogspot.com,1
degreeofsatisfaction.blogspot.com,2
digbysblog.blogspot.com,1
digitheadslabnotebook.blogspot.com,1
dittofacts.blogspot.com,1
dkebooks.blogspot.com,3
dldatascience.blogspot.com,1
dmatheorynet.blogspot.com,3
downwithtyranny.blogspot.com,1
dragansr.blogspot.com,1
dsdeepdive.blogspot.com,8
dsdwh.blogspot.com,1
dshacker.blogspot.com,3
dstoolbox.blogspot.com,1
ecommerceaa.blogspot.com,4
econometricsense.blogspot.com,7
economicsprinciplesandapplications.blogspot.com,1
economicspsychologypolicy.blogspot.com,1
eduardozorita.blogspot.com,2
edukaka.blogspot.com,1
edusavecoupon.blogspot.com,3
ejparthds.blogspot.com,3
ekonometrics.blogspot.com,3
elainechew-research.blogspot.com,4
elbiruniblogspotcom.blogspot.com,1
emlitofnote.blogspot.com,1
eponymouspickle.blogspot.com,58
ergon-blog.blogspot.com,1
ernestomore.blogspot.com,1
etalog.blogspot.com,1
ethictransplantation.blogspot.com,3
evafengeva.blogspot.com,3
eve-prosper.blogspot.com,3
everydayanalytics.blogspot.com,1
evidence-based-science.blogspot.com,1
evilutionarybiologist.blogspot.com,1
evolutionblog.blogspot.com,1
explorescholarships.blogspot.com,1
exploringdatablog.blogspot.com,1
exploringpossibilityspace.blogspot.com,3
fairwindsprofiles.blogspot.com,1
finance-and-news.blogspot.com,1
fraka6.blogspot.com,3
free-ezine-directory.blogspot.com,1
frontloading.blogspot.com,1
fudatascience.blogspot.com,3
futureofcio.blogspot.com,1
futurict.blogspot.com,1
gallamine.blogspot.com,1
gamingwithdatascience.blogspot.com,1
gangasmir.blogspot.com.es,1
gardenforkingpaths.blogspot.com,3
genomeinformatician.blogspot.com,3
geokitchen.blogspot.com,1
geologylearn.blogspot.com,1
geomblog.blogspot.com,20
geosprocket.blogspot.com,1
geothought.blogspot.com,1
gettinggeneticsdone.blogspot.com,3
gif-news.blogspot.com,1
giganticdata.blogspot.com,2
gimnews-events.blogspot.com,1
girfahelp.blogspot.com,1
googlecloudplatform.blogspot.com,2
googleforeducation.blogspot.com,1
googleresearch.blogspot.com,8
gr33ndata.blogspot.com,1
gregdetre.blogspot.com,1
guillaumecguy.blogspot.com,1
hamelg.blogspot.com,4
happydatascientist.blogspot.com,2
harmonyparenttruth.blogspot.com,1
highered.blogspot.com,1
highplainsmedia.blogspot.com,1
higoatboyolali.blogspot.com,1
hirenjshah.blogspot.com,1
hockeyschtick.blogspot.com,1
hodentek.blogspot.com,1
hoggresearch.blogspot.com,3
holisticinfosec.blogspot.com,2
honcol.blogspot.com,3
