domain,url_count
101.datascience.community,2
14n121e.wordpress.com,1
3danim8.wordpress.com,12
3mhealthinformation.wordpress.com,3
4thenaturesake.wordpress.com,1
abgoswam.wordpress.com,2
abhimnit.wordpress.com,12
ablvienna.wordpress.com,3
abordonseng.wordpress.com,2
ad1nf1n1tumblog.wordpress.com,1
adambly314.wordpress.com,6
adamrabinovitch.wordpress.com,3
adragonsbestfriend.wordpress.com,1
afonsobandeira.wordpress.com,2
agkn.wordpress.com,3
agtb.wordpress.com,24
ahlemmustapha.wordpress.com,1
aissc.dsi.uminho.pt,9
ajmarciniak.wordpress.com,1
akshaykher.wordpress.com,2
alabsinatheer.wordpress.com,1
alcibiades54.wordpress.com,1
aleadeum.wordpress.com,6
alessandrosicurocomunication.com,1
alexanderdyakonov.files.wordpress.com,1
alexhpoole.files.wordpress.com,3
alexl.wordpress.com,1
alfdahl.com,1
algorithmcode.wordpress.com,1
algorithmsatwork.wordpress.com,1
alirebaie.com,2
almalinks.wordpress.com,2
amilymoor.wordpress.com,1
amva4newphysics.wordpress.com,1
anagauna.eti.br,4
anagauna.wordpress.com,1
analysights.wordpress.com,1
analystatlarge.files.wordpress.com,3
analyticks.wordpress.com,1
anamariaecheverri.wordpress.com,2
anchow.wordpress.com,1
andersdrachen.files.wordpress.com,4
andersdrachen.wordpress.com,3
andrearroyo.wordpress.com,1
andrewpwheeler.wordpress.com,8
andrewwhitb.wordpress.com,1
andrybrew.wordpress.com,1
andvijaysays.wordpress.com,4
andyrussell.wordpress.com,15
anindita9.wordpress.com,6
anitachow.files.wordpress.com,1
anlystico.wordpress.com,1
annebeaulieu.wordpress.com,10
annzconsulting.files.wordpress.com,4
anonymousbi.wordpress.com,2
anthem.wordpress.com,1
anthonysmoak.com,5
anthrocode.wordpress.com,1
antoniopitablog.wordpress.com,1
aojajena.wordpress.com,1
apandre.wordpress.com,7
appablog.wordpress.com,3
archaeologicalnetworks.wordpress.com,3
arctanh.wordpress.com,1
arietwigt.wordpress.com,1
arnulfo.wordpress.com,2
articulosit.files.wordpress.com,2
aryannava.wordpress.com,67
asecondmouse.wordpress.com,1
askeplaat.files.wordpress.com,5
askeplaat.wordpress.com,4
asmiti.wordpress.com,1
astrocompute.wordpress.com,6
astrotweeps.wordpress.com,4
aumahesh.wordpress.com,1
avandeursen.wordpress.com,1
avichal.wordpress.com,7
awakeningdatascientist.wordpress.com,5
badarabbas.wordpress.com,1
barefoottechie.wordpress.com,3
barentsen.wordpress.com,2
barnabasdaru.files.wordpress.com,4
barnasahadotcom.files.wordpress.com,4
barryslaff.wordpress.com,1
baselinescenario.com,1
bayesianbiologist.files.wordpress.com,1
bayesianbiologist.wordpress.com,5
bcnpcl.wordpress.com,2
bdelacretaz.wordpress.com,1
beanalytics.wordpress.com,2
beckmw.wordpress.com,2
benjaminlmoore.wordpress.com,3
berkeleydatascience.files.wordpress.com,2
bevhillsbiz.wordpress.com,1
beyonddatascience.wordpress.com,1
bgscareersadvice.wordpress.com,1
bhrnjica.net,1
bhrnjica.wordpress.com,2
bi-datascience.com,1
bigbearbi.wordpress.com,1
bigdatagenius.wordpress.com,6
bigdatanerds.wordpress.com,1
bigdatasc.wordpress.com,7
bigdatatraininginhyderabad.wordpress.com,1
bighomo.wordpress.com,3
bighumanities.files.wordpress.com,2
bigsonata.wordpress.com,10
biguru.wordpress.com,30
bimentalist.wordpress.com,2
bimonitor.files.wordpress.com,1
biocreativity.wordpress.com,1
bitssblog.files.wordpress.com,6
bittiavaruuteen.wordpress.com,2
bitwacker.wordpress.com,2
biwizard.wordpress.com,1
bjsimha.wordpress.com,2
blackquest.files.wordpress.com,1
blog.datapolitan.com,1
blog.metoffice.gov.uk,3
blog.skillsmatter.com,1
blog.wellcome.ac.uk,1
bloggingmebloggingyou.wordpress.com,6
blogstats.wordpress.com,10
bluewatersql.wordpress.com,4
bonariabiancu.wordpress.com,1
botb2015.files.wordpress.com,2
brucelankford.files.wordpress.com,5
bruceweed.files.wordpress.com,1
brusselsbriefings.files.wordpress.com,3
buckwoody.wordpress.com,1
buddingdatascientist.wordpress.com,1
buildingblogsofscience.wordpress.com,1
bytesforlunch.wordpress.com,1
cafehound.wordpress.com,1
camerondwyer.wordpress.com,1
cameronsim.wordpress.com,1
canwefeedtheworld.wordpress.com,4
cappra.com.br,1
care2improveblog.files.wordpress.com,2
careerxl.wordpress.com,1
carllagoze.files.wordpress.com,6
carlosbossy.files.wordpress.com,1
cartesianfaith.wordpress.com,1
cassiermartin.com,1
cbrownley.wordpress.com,2
cequityinsights.wordpress.com,1
cfiesler.files.wordpress.com,9
chamonixvue.wordpress.com,5
chandramanitiwary.wordpress.com,4
changingbehaviours.wordpress.com,1
chantalvanson.files.wordpress.com,3
charlesmartin14.wordpress.com,9
charmalloc.wordpress.com,6
chemicalstatistician.wordpress.com,8
chiefhro.wordpress.com,1
chipflip.wordpress.com,4
chrisohara.wordpress.com,1
chrispeckphd.wordpress.com,1
christeplovs.com,4
christianvdheever.wordpress.com,1
christophriedl.files.wordpress.com,17
cindyanguyen.wordpress.com,12
citationculture.wordpress.com,1
citizenbiomedicine.wordpress.com,2
citypolicy.wordpress.com,1
civilsociology.wordpress.com,1
clanius.files.wordpress.com,3
clanius.wordpress.com,1
climateaudit.files.wordpress.com,9
climatism.wordpress.com,4
clintpgeorge.wordpress.com,2
cloudcelebrity.wordpress.com,2
codecrafter.wordpress.com,1
cofarblog.wordpress.com,1
collaborativelibrarianship.wordpress.com,1
columbiadatascience.com,1
columbiadatascience.wordpress.com,40
columbiadataviz.wordpress.com,1
commoninfirmities.wordpress.com,4
compolsoc.wordpress.com,1
compudicted.wordpress.com,1
computinged.wordpress.com,1
computingforsustainability.com,1
comsysto.wordpress.com,5
confessionsofascientist.wordpress.com,1
connectedtechnbiz.wordpress.com,1
consciousnessonline.com,1
conspicuouschatter.files.wordpress.com,5
consumergateway.org,1
consumergateway.wordpress.com,5
consumermediallc.files.wordpress.com,1
contanalytics.wordpress.com,1
covertocover.wordpress.com,1
coyotegulch.wordpress.com,3
creativeleadershipblog.wordpress.com,1
creativityinhealthcare.wordpress.com,1
cs7545.wordpress.com,5
csclcrowd2015.files.wordpress.com,3
cscw2016hcds.files.wordpress.com,34
cscwethics2015.files.wordpress.com,1
cubiqit.wordpress.com,1
curryja.wordpress.com,1
cwebbbi.wordpress.com,19
cx2h.wordpress.com,1
cyanbyfuchsia.wordpress.com,1
cybercriminalite.wordpress.com,1
cybermashup.wordpress.com,1
dabblingwithdata.wordpress.com,4
dabrownstein.com,2
dacosta9.wordpress.com,3
