domain,url_count
1000ebooks.wordpress.com,1
100tofit.wordpress.com,34
12bx.wordpress.com,2
1420strong.wordpress.com,2
14thand1st.wordpress.com,4
1miletogo.wordpress.com,11
1st4fitness.wordpress.com,1
212dof.wordpress.com,7
21crossfit.wordpress.com,1
21csg.files.wordpress.com,2
24hourfitnessnorthgatesttl.wordpress.com,1
24seventoanywhere.wordpress.com,1
2alamen.files.wordpress.com,1
3015ift.files.wordpress.com,10
3015ift.wordpress.com,1
30dayfitnessexperiment.wordpress.com,1
3critical.wordpress.com,1
3dlila.com,6
3novicesunitedkingdom.wordpress.com,1
3xfcoach.wordpress.com,5
401j.wordpress.com,1
43fitness.wordpress.com,1
495142622com.wordpress.com,1
4mylifefitness.wordpress.com,2
4pack.wordpress.com,29
4pam.wordpress.com,1
4sqday16.wordpress.com,2
50milehikers.wordpress.com,1
5poundstogo.wordpress.com,1
780albertagirl.wordpress.com,7
7x7xmommy.wordpress.com,3
90dayhealthandbodymakeover.wordpress.com,1
9erin9.wordpress.com,1
9to5google.wordpress.com,1
9to5mac.wordpress.com,7
aaafcp.wordpress.com,1
abbeyfitness.wordpress.com,1
abbeysnellfitness.wordpress.com,3
abbiosbiston.com,1
abbyovertonfitness.wordpress.com,1
abeahan.files.wordpress.com,1
abercrombieandfitness.wordpress.com,1
abetteryeartoabetterlife.wordpress.com,1
abidurrantpt.com,1
abieleanor.wordpress.com,1
abmahnhilfe.wordpress.com,1
abowandarrow.com,1
abramkj.com,1
abroadathome.org,1
absgym.wordpress.com,3
absoluteresorts.wordpress.com,1
acceptablemashedxiwzogvhdd.wordpress.com,1
accessorydepot.wordpress.com,1
accultura.files.wordpress.com,1
accurateshooter.wordpress.com,1
aceitfittheory.files.wordpress.com,1
acemorganfitness.wordpress.com,6
acephysed.files.wordpress.com,6
acfitnesstraining.wordpress.com,1
achievefitnessboston.wordpress.com,4
acidolatico.wordpress.com,1
acinz.wordpress.com,1
actionforahealthymass.wordpress.com,1
actiontimefitness.wordpress.com,6
activelifejourney.wordpress.com,1
activepersonaltrainerssingapore.wordpress.com,3
activeptblog.wordpress.com,1
activioblog.wordpress.com,1
actualisefitness.wordpress.com,1
additionalfitness.com,1
additionalfitness.wordpress.com,1
adebordre5710.files.wordpress.com,8
adelemitchell.wordpress.com,1
adellaandco.wordpress.com,3
adhayward.files.wordpress.com,3
adlammi16.wordpress.com,1
admwilsondotcom.files.wordpress.com,4
adrianamichellebeauty.wordpress.com,1
adrienneredd.wordpress.com,1
adv212fitness.wordpress.com,1
advancedworkouts.wordpress.com,1
advantagepilates.com,1
adventuresincareerdevelopment.wordpress.com,1
adventuresinjuggling.me,1
adventureswithsuz.wordpress.com,1
advourc.files.wordpress.com,1
afightforfitness.com,1
afnfitness.wordpress.com,1
africanvegans.com,2
agexonline.wordpress.com,1
aggieruns.wordpress.com,1
agnesfitnessworkout.wordpress.com,5
agogefitnesssystems.wordpress.com,4
ahmed122346.wordpress.com,1
aimgrrrl.com,1
airkayaks.wordpress.com,1
ajaykohli.wordpress.com,1
ajd8.wordpress.com,4
ajotatittle.wordpress.com,1
ajpmonline.wordpress.com,1
akfitnessvancouver.wordpress.com,8
aktinmotion.wordpress.com,3
alakhawaynuniversity.wordpress.com,1
alamedamgr.files.wordpress.com,1
alanaandrewsfitnesspro.wordpress.com,1
alanayatesfitness.wordpress.com,1
alanfitness.wordpress.com,3
alanoldstudent.wordpress.com,1
albatrossfitness.wordpress.com,1
albertrombo.files.wordpress.com,1
aldfit.wordpress.com,1
aleshahaley.wordpress.com,1
alexdoman.wordpress.com,1
alexeimaklakov.files.wordpress.com,4
alexischateau.com,2
alexoloughlinintensestudy.wordpress.com,5
alignforease.wordpress.com,1
allaboutcheryl.wordpress.com,1
allcanadianfitness.wordpress.com,8
allegiantny.wordpress.com,2
allegrabliss.files.wordpress.com,1
alleviator.wordpress.com,1
allgofitnessblog.wordpress.com,1
allibreathe.wordpress.com,1
