link_name,url_link
Yet Another Data Blog,http://yet-another-data-blog.blogspot.com/
Khan Academy Data Science,http://kadatascience.blogspot.com/
Executive Placement Firms | Burtch Works Blog,http://lindaburtch.blogspot.com/
The Aspirational Data Scientist: Useful Links,http://newdatascientist.blogspot.com/p/useful-links.html
Remote Data Science,http://remotedatascience.blogspot.com/
The Aspirational Data Scientist,http://newdatascientist.blogspot.com/
Why do Many Data Scientists love using Python over Ruby? - Python,http://python-development.blogspot.com/2016/03/why-do-many-data-scientists-love-using.html
Yet Another Data Blog: Data Science Bootcamp Programs - Full TIme ...,http://yet-another-data-blog.blogspot.com/2014/04/data-science-bootcamp-landscape-full.html
Data Science Notes,http://datasciencethoughts.blogspot.com/
Ewan's Blog: Bioinformatician at large: Publishing Big Data Science,http://genomeinformatician.blogspot.com/2016/05/publishing-big-data-science.html
Political Data Science,http://politicaldatascience.blogspot.com/
Data @ Libs: Data Science Studio Office Hours for Spring Quarter,http://data.blogspot.com/2016/04/data-science-studio-office-hours-for.html
Guillaume's Blog - Data Science,http://guillaumecguy.blogspot.com/
Data science for kids!: Why data science?,http://datasciencekids.blogspot.com/p/mentor-experiences.html
MaxEntropy: Data-Science Glossary - B,http://maxentopy.blogspot.com/p/b-beacon-one-of-three-transports-used.html
MaxEntropy: Data Science Glossery - L,http://maxentopy.blogspot.com/p/data-science-glossery-l.html
MaxEntropy: Data Science Glossery - F,http://maxentopy.blogspot.com/p/data-science-glossery.html
MaxEntropy: Data Science Glossery - E,http://maxentopy.blogspot.com/p/f.html
MaxEntropy: Data Science Glossery - M,http://maxentopy.blogspot.com/p/data-science-glossery-m.html
MaxEntropy: Data Science Glossery - Q,http://maxentopy.blogspot.com/p/data-science-glossery-q.html
Data @ Libs: Upcoming classes: Community Data Science Workshop ...,http://data.blogspot.com/2016/03/upcoming-classes-community-data-science.html
Jessica Kirkpatrick's Blog,http://berkeleyjess.blogspot.com/
MaxEntropy: Data Science Glossery - T,http://maxentopy.blogspot.com/p/data-science-glossery-t.html
Big Data Science Practice,http://kumaranpm.blogspot.com/
MaxEntropy: Data Science Glossery - H,http://maxentopy.blogspot.com/p/data-science-glossery-h.html
MaxEntropy: Data Science Glossery - P,http://maxentopy.blogspot.com/p/data-science-glossery-p.html
Stirling Behavioural Science Blog : Data Science for Government 2016 ...,http://economicspsychologypolicy.blogspot.com/2016/06/data-science-for-government-2016.html
MaxEntropy: Data-Science Glossary - D,http://maxentopy.blogspot.com/p/d-d3.html
MaxEntropy: Data Science Glossery - S,http://maxentopy.blogspot.com/p/s-sampling-is-of-statistical-technique.html
edX: Data Science Ethics Review | Life Is Study,http://hamelg.blogspot.com/2016/05/edx-data-science-ethics-review.html
#NSMNSS: Putting data science in the service of social science,http://nsmnss.blogspot.com/2016/05/putting-data-science-in-service-of.html
MaxEntropy: Data-Science Glossary - C,http://maxentopy.blogspot.com/p/c-cache-bursting-technique-in-analytics.html
Fear and Loathing in Data Science: Iraq-Wikileaks Analysis with R,http://r-datameister.blogspot.com/2016/06/iraq-wikileaks-analysis-with-r.html
ECON Undergraduate Blog: Data Science Internship Summer 2016,http://umdecon.blogspot.com/2016/04/data-science-internship-summer-2016.html
Data Science Course Content | Business Intelligence/Techniques ...,http://bnreddybi.blogspot.com/2016/06/data-science-course-content.html
Humanities and Social Sciences Research and Engagement: Data ...,http://chassresearch.blogspot.com/2016/05/data-science-short-courses-college.html
Population Health Data Science,http://phdatascience.blogspot.com/
2016 ICDM Workshop on Data Science and Big Data Analytics ...,http://beamtenherrschaft.blogspot.com/2016/07/2016-icdm-workshop-on-data-science-and.html
Ph.D. Position on Mining Customer Behavior @ Data Science Centre ...,http://beamtenherrschaft.blogspot.com/2016/07/phd-position-on-mining-customer.html
Msc Data Science in India @ low cost - Ditto Facts,https://dittofacts.blogspot.com/2016/05/msc-data-science-in-india-low-cost.html
Data Science in Action,http://data-science-in-action.blogspot.com/
Data Science,http://allaboutdatascience.blogspot.com/
Happy Data Scientist,http://happydatascientist.blogspot.com/
"Data Science, Data Mining and Predictive Analytics",http://alphaanalysis.blogspot.com/
"Hardcore Data Science, London 2016 | The Practical Quant",http://practicalquant.blogspot.com/2016/06/hardcore-data-science-london-2016.html
t+z statistics: Call for papers--Statistical Learning for Data Science ...,http://tz33cu.blogspot.com/2016/05/call-for-papers-statistical-learning.html
Mathematician in Data Science,http://myabakhova.blogspot.com/
Learn2Develop: Learning Data Science using Python,http://weimenglee.blogspot.com/2016/05/learning-data-science-using-python.html
The Eponymous Pickle: Automating Data Science,http://eponymouspickle.blogspot.com/2016/04/on-automated-data-science.html
Data Science - Hyderabad: Data Science in Supply Chain ...,http://datasciencetraininghyderabad.blogspot.com/2015/01/data-science-in-supply-chain-management.html
The Eponymous Pickle: Data Science and Machine Learning Online ...,http://eponymouspickle.blogspot.com/2016/05/data-science-and-machine-learning.html
Data Mining Research - www.dataminingblog.com,http://dataminingresearch.blogspot.com/
